zone_id,zone_name,area_m2,dist_alimentacion,access_alimentacion,dist_farmacia,access_farmacia,dist_salud,access_salud,dist_educacion,access_educacion,dist_parque,access_parque,dist_transporte,access_transporte,services_count,score_15min
B034,MALILLA,2507152.1236750563,176.61505272841282,1,136.61518303617382,1,361.9840876668352,1,165.71879470095678,1,82.60348885995077,1,137.565809333165,1,6,100.0
B035,JAUME ROIG,187100.2313664253,156.59710926778828,1,65.25020098703159,1,250.79917077298364,1,47.140221904697995,1,410.4226261650173,1,128.07024148131617,1,6,100.0
B036,BENIMACLET,751257.2569342769,94.56317465132862,1,89.75910550518988,1,150.09256569439867,1,282.60862048830427,1,251.69325277371746,1,72.32806059022239,1,6,100.0
B037,CIUTAT UNIVERSITARIA,273850.46626924636,289.493722081846,1,261.96562260003094,1,32.02341916339578,1,71.31555411976142,1,200.72845990066511,1,90.35395878553513,1,6,100.0
B038,BENICALAP,1718922.835997798,112.75316578961436,1,104.95489082195614,1,170.55498180085584,1,169.69018307566867,1,176.63385249259665,1,112.46040865810218,1,6,100.0
B039,SANT ANTONI,249871.47948861256,78.33814666316778,1,24.838744995476247,1,548.8672847259127,1,88.79370421150244,1,146.34723441406484,1,182.2455170093186,1,6,100.0
B040,MESTALLA,843726.1675443042,82.3877622610471,1,275.54845440060876,1,340.43447855346375,1,272.09643964090475,1,232.86100201368004,1,96.69475522311161,1,6,100.0
B041,ALBORS,255654.97896969764,243.38615582247405,1,288.7848845986725,1,221.81294140860905,1,114.38292306842561,1,383.7546986616867,1,234.10359616031033,1,6,100.0
B042,L'AMISTAT,208612.29717739392,169.89447084293815,1,239.32364968067853,1,88.77858650562348,1,15.974938678236526,1,55.52210742308084,1,198.1982736216597,1,6,100.0
B043,BETERO,267236.98329947365,61.49079393253498,1,58.98505630689812,1,653.6753498607525,1,153.08635995303086,1,98.77379661908961,1,134.7515024500075,1,6,100.0
B044,CABANYAL-CANYAMELAR,1349868.9421882636,285.1476957731911,1,86.45471579890757,1,555.9803286484324,1,243.69844290232504,1,151.903635584816,1,54.95269585939633,1,6,100.0
B045,LA CARRASCA,1945697.472434357,221.84588882058526,1,238.50101682694626,1,521.0888295111181,1,158.04524920108608,1,372.6642047662892,1,75.28897296101047,1,6,100.0
B046,LA MALVA-ROSA,732988.1537947246,68.61839816688108,1,133.4735865032157,1,396.22449203907536,1,111.6659255038451,1,264.2796624926328,1,103.42790408304343,1,6,100.0
B047,LA VEGA BAIXA,190570.78441747127,57.592394411560974,1,180.24483209893054,1,167.43136303016212,1,84.58580959376289,1,53.34876732212096,1,177.02212215763885,1,6,100.0
B048,AIORA,651351.6602005305,247.89924580338638,1,269.2863736203455,1,383.9752138975084,1,156.56880050890635,1,203.665357782891,1,74.47808476787037,1,6,100.0
B049,CIUTAT JARDI,363905.8283320316,79.92606114618337,1,118.8609252117025,1,300.9398775800161,1,242.15974278585028,1,25.662825417167976,1,142.3554575670254,1,6,100.0
B050,NATZARET,916438.7808392649,337.86614609452675,1,332.9331204843994,1,970.2210812671318,1,274.0302951680177,1,104.46957659884848,1,85.06705665697946,1,6,100.0
B051,LA PUNTA,6213241.077261035,1354.5145915908859,0,1350.8497903234816,0,1762.668830817437,0,1189.7253356173608,1,1069.3077429287432,1,489.35110849903145,1,3,50.0
B052,EL GRAU,5231981.522442434,1130.527374472422,1,1177.7772566244498,1,1719.9209246424696,0,1033.6694571853625,1,891.2874440073275,1,840.3079711000801,1,5,83.33333333333334
B053,RUSSAFA,876743.800121857,68.44666340262322,1,132.51158647151829,1,395.4225874968565,1,118.60589626586354,1,375.0447292177395,1,143.3184243702019,1,6,100.0
B054,LA GRAN VIA,467115.80462628236,153.10899440803848,1,113.8793133595503,1,239.57669068769795,1,244.16740040956628,1,343.6466717609384,1,108.45181467785478,1,6,100.0
B055,MONTOLIVET,474699.4605438448,168.99238800352157,1,118.98033360808702,1,440.8706653180888,1,291.43581190255355,1,79.74998639551802,1,94.26711524479005,1,6,100.0
B056,LA FONTSANTA,322999.2187304611,474.47294250140857,1,230.2212749400394,1,98.52484021884285,1,143.47205323996394,1,67.3208097469268,1,143.38200040911974,1,6,100.0
B057,VARA DE QUART,1034606.3362237056,326.7417161958484,1,388.5631044842501,1,837.7725594847641,1,552.4431340114662,1,484.8969977428448,1,377.01808710319057,1,6,100.0
B058,PATRAIX,621303.1273619117,149.7124977019827,1,83.15255996697194,1,323.16480472198407,1,209.62651960897918,1,148.8126349913988,1,46.69849915559918,1,6,100.0
B059,TRES FORQUES,526794.3471969295,510.3693254601101,1,395.2315006710947,1,359.39964236574303,1,40.698275645650384,1,161.3658101410891,1,210.2421297741761,1,6,100.0
B060,NOU MOLES,739498.7979951871,218.2925197963204,1,45.63058704247688,1,656.2435934280684,1,305.3176689268126,1,388.93328907854726,1,131.78651994468657,1,6,100.0
B061,SOTERNES,224341.30849505533,674.3738771142725,1,461.33456712559246,1,155.703113949114,1,23.298482345148518,1,132.43764652104696,1,47.337795625157725,1,6,100.0
B062,LA LLUM,175203.52324675804,276.08078844441144,1,146.31489590556032,1,325.8948394778492,1,40.178820701276514,1,77.4456482591881,1,94.2650724311175,1,6,100.0
B063,SANT PAU,3898034.390276856,436.66706487328855,1,722.5232061491184,1,507.18720179704724,1,500.05114073070854,1,426.83176683281556,1,479.09869299417466,1,6,100.0
B064,LA PETXINA,496771.74395524594,63.62003441715739,1,139.6682112271932,1,54.03128412528461,1,87.86142923203293,1,186.03128092391884,1,64.71666819543084,1,6,100.0
B065,CAMPANAR,987768.188141156,20.02478521227329,1,175.616343540292,1,223.16593128972465,1,206.42805410995518,1,40.912654247862974,1,2.2356858801840285,1,6,100.0
B066,LES TENDETES,258172.46013527145,105.1046648626489,1,41.31764936196367,1,259.27839092190834,1,54.03899426193247,1,97.1937954307995,1,30.414609461850112,1,6,100.0
B067,CAMI REAL,1477562.7944729885,600.670159407056,1,672.8755386997503,1,664.4256557413474,1,490.7781059470064,1,431.48743451038735,1,159.79594605338175,1,6,100.0
B068,FAVARA,280212.60750913864,286.535513147514,1,140.39196568475873,1,32.53340969601521,1,109.54516054633733,1,255.69360470922388,1,210.14576099612887,1,6,100.0
B069,SANT ISIDRE,495138.90136107197,59.758400688613584,1,83.27124672352154,1,239.4072060980393,1,180.7482568747589,1,78.22350459573315,1,68.27236538504202,1,6,100.0
B070,L'HORT DE SENABRE,426389.1164755238,101.92766559536727,1,103.32787682785136,1,332.2965406954647,1,215.03806075901002,1,174.52212443824564,1,173.72567243211438,1,6,100.0
B071,CAMI FONDO,158578.63021261347,129.58514552088914,1,127.66702529196928,1,192.83657880392946,1,342.83282805215515,1,103.00899430425804,1,134.23100900155728,1,6,100.0
B072,NA ROVELLA,536476.1789811202,470.8175585866598,1,267.56921320021735,1,588.4435768716043,1,75.48625635615991,1,132.22000907129868,1,105.49287707924161,1,6,100.0
B073,PENYA-ROJA,907401.2936273437,78.1883206610021,1,91.53181347235486,1,231.04295494416075,1,222.25117291322073,1,94.1145235126018,1,27.039217353279938,1,6,100.0
