bbox_west,bbox_south,bbox_east,bbox_north,place_id,osm_type,osm_id,lat,lon,class,type,place_rank,importance,addresstype,name,display_name,area_m2,zone_id,dist_alimentacion,access_alimentacion,dist_farmacia,access_farmacia,dist_salud,access_salud,dist_educacion,access_educacion,dist_parque,access_parque,dist_transporte,access_transporte,services_count,score_15min,cluster
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",998801.1355933874,Z060,6202.234687943823,0,5294.977379916007,0,11950.968905697257,0,7757.150959727977,0,7922.69103143079,0,5144.42527980123,0,0,0.0,1
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",1000000.0,Z061,5604.185864012499,0,5586.962518349357,0,10967.870537322722,0,6911.291080906646,0,7062.809100646371,0,5087.529092167355,0,0,0.0,1
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",1000000.0,Z062,5121.535422516971,0,5107.240755352379,0,9971.148756307393,0,6096.350573545317,0,6228.77285074946,0,4727.114994751071,0,0,0.0,1
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",1000000.0,Z063,4801.390524607606,0,4790.998443416696,0,8975.156317152145,0,5344.6268556466675,0,5441.566213545348,0,4561.316716495153,0,0,0.0,1
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",587006.333522144,Z064,4529.380475788872,0,4523.827403216917,0,7937.717985294041,0,4551.998450762831,0,4598.881668678731,0,4470.574091331087,0,0,0.0,1
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",60879.74299865105,Z065,656.8108675772745,1,857.2214794662401,1,737.29553308664,1,644.7050350374521,1,615.3793095065175,1,72.61878495247791,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",846161.1366381006,Z066,718.1687668895875,1,874.9472675292545,1,882.9652250749031,1,99.55993446385719,1,974.745645177247,1,274.49634982758164,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",1000000.0,Z067,757.1627835791911,1,564.4838502576749,1,614.8253259990443,1,714.6461977017382,1,518.9471027508765,1,375.73780505438805,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",1000000.0,Z068,157.1340963389088,1,137.63966995991012,1,222.7916660011572,1,422.8378099870886,1,88.1051721672962,1,92.25906224122946,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",1000000.0,Z069,30.84031704152643,1,86.96149658985898,1,412.47063109785915,1,253.63746085600826,1,44.35872914124459,1,21.595972945213305,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",1000000.0,Z070,109.89511550240572,1,63.60484375336151,1,150.3336430199631,1,217.6523247075824,1,748.4512448212366,1,25.663458066253384,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",1000000.0,Z071,133.0680019086984,1,95.77371827169152,1,167.75485145463034,1,140.26111689810668,1,258.1783092029289,1,143.24207245615258,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",1000000.0,Z072,123.06824122385216,1,194.34008571782726,1,185.87057592553066,1,195.47585808074183,1,269.73247886870445,1,106.6776072186503,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",1000000.0,Z073,47.93167641600071,1,23.78031832038924,1,278.9951993545296,1,120.2339035899236,1,67.19240445408006,1,63.32758894496908,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",937487.7544271208,Z074,542.4789883284143,1,430.4989705514002,1,676.8136325240929,1,189.61680900288624,1,356.93539191898543,1,127.05138195316502,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",600392.2183209067,Z075,1676.4873142013716,0,1420.7096623109271,0,1771.9626123146522,0,450.53835762556923,1,954.7144072651907,1,605.9883792413301,1,3,50.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",379971.2829704702,Z076,1409.4164380910565,0,1326.302233297765,0,2829.576692008338,0,1245.5371517383735,0,372.7064979374217,1,613.1202121771258,1,2,33.33333333333333,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",187249.27272038537,Z077,1697.2994007176453,0,1779.619017818337,0,3614.939546704327,0,1415.536260764843,0,1026.516972641376,1,796.8614097768618,1,2,33.33333333333333,0
