zone_id,zone_name,area_m2,dist_alimentacion,walkdist_alimentacion,access_alimentacion,proximity_alimentacion,dist_farmacia,walkdist_farmacia,access_farmacia,proximity_farmacia,dist_salud,walkdist_salud,access_salud,proximity_salud,dist_educacion,walkdist_educacion,access_educacion,proximity_educacion,dist_parque,walkdist_parque,access_parque,proximity_parque,dist_transporte,walkdist_transporte,access_transporte,proximity_transporte,services_count,score_15min,score_familia,score_estudiante,score_persona_mayor,cluster,zone_key,district_name,sale_eur_m2,rent_eur_m2,source,notes,has_housing_data,housing_data_status,rent_eur_m2_clean,sale_eur_m2_clean
B033,EN CORTS,364024.3523459941,80.28899908635152,80.28899908635152,1,0.9665462503806869,147.62738776516153,147.62738776516153,1,0.9384885884311827,614.8679373370288,614.8679373370288,1,0.7438050261095713,521.6509949419014,521.6509949419014,1,0.7826454187742078,129.44418583859724,129.44418583859724,1,0.9460649225672512,0.0,0.0,1,1.0,6,100.0,88.59219139488704,89.94712815612941,90.51099998406895,0,EN CORTS,QUATRE CARRERES,1950.0,8.8,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,8.8,1950.0
B034,MALILLA,2507152.1236750563,190.68137150516628,190.68137150516628,1,0.920549428539514,269.05711402777683,269.05711402777683,1,0.887892869155093,506.15562089351084,506.15562089351084,1,0.7891018246277038,202.46095032259274,202.46095032259274,1,0.9156412706989197,122.14042499632853,122.14042499632853,1,0.9491081562515298,198.81994784601002,198.81994784601002,1,0.9171583550641624,6,100.0,89.71179073553405,90.22334898362881,88.75742642157215,0,MALILLA,QUATRE CARRERES,1999.0,8.7,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,8.7,1999.0
B035,JAUME ROIG,187100.2313664253,189.37258686207372,189.37258686207372,1,0.921094755474136,69.71694238044637,69.71694238044637,1,0.9709512740081474,241.29407835154066,241.29407835154066,1,0.8994608006868581,243.67221287013996,243.67221287013996,1,0.8984699113041084,491.1226639698528,491.1226639698528,1,0.795365556679228,100.76382672265727,100.76382672265727,1,0.9580150721988928,6,100.0,90.1584879020652,91.25247404428565,91.58982361517405,0,JAUME ROIG,EL PLA DEL REAL,2772.0,9.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,9.2,2772.0
B036,BENIMACLET,751257.2569342769,95.80575186243459,95.80575186243459,1,0.9600809367239855,95.80575186243459,95.80575186243459,1,0.9600809367239855,205.8075456762684,205.8075456762684,1,0.9142468559682215,353.4532897572146,353.4532897572146,1,0.8527277959344939,308.55961397463756,308.55961397463756,1,0.8714334941772344,84.92455467712473,84.92455467712473,1,0.9646147688845313,6,100.0,91.34040151180734,92.04121213322537,93.28787637038477,0,BENIMACLET,BENIMACLET,2039.0,8.9,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,8.9,2039.0
B037,CIUTAT UNIVERSITARIA,273850.46626924636,272.8264047943997,272.8264047943997,1,0.8863223313356667,279.4922740046687,279.4922740046687,1,0.883544885831388,0.0,0.0,1,1.0,219.71223817015877,219.71223817015877,1,0.9084532340957672,386.04423117982043,386.04423117982043,1,0.8391482370084081,62.02340701682039,62.02340701682039,1,0.9741569137429915,6,100.0,91.39423843092325,91.90388663079962,92.2224665473081,0,CIUTAT UNIVERSITARIA,EL PLA DEL REAL,2395.0,10.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,10.0,2395.0
B038,BENICALAP,1718922.835997798,192.87439017223065,192.87439017223065,1,0.9196356707615706,178.5946331324373,178.5946331324373,1,0.9255855695281511,350.22047167743796,350.22047167743796,1,0.8540748034677341,291.9666417786798,291.9666417786798,1,0.8783472325922168,266.4285416987901,266.4285416987901,1,0.8889881076255042,318.10824183665505,318.10824183665505,1,0.8674548992347271,6,100.0,88.72530417838871,88.74522404774868,89.01023052567763,0,BENICALAP,BENICALAP,1602.0,9.8,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,9.8,1602.0
B039,SANT ANTONI,249871.47948861256,140.89751336423805,140.89751336423805,1,0.9412927027649008,15.116378863274102,15.116378863274102,1,0.9937015088069692,753.7410290887166,753.7410290887166,1,0.6859412378797014,75.72322063133662,75.72322063133662,1,0.9684486580702764,189.0972058188588,189.0972058188588,1,0.9212094975754754,164.03218502130215,164.03218502130215,1,0.9316532562411242,6,100.0,90.5717469603167,91.82402894234392,89.37003325800276,0,SANT ANTONI,LA SAIDIA,1709.0,7.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,7.2,1709.0
B040,MESTALLA,843726.1675443042,56.399361302480216,56.399361302480216,1,0.9765002661239666,350.49812975534905,350.49812975534905,1,0.8539591126019379,361.4944049459408,361.4944049459408,1,0.8493773312725247,394.4751653636109,394.4751653636109,1,0.8356353477651621,313.0428690018668,313.0428690018668,1,0.8695654712492222,76.59951265293891,76.59951265293891,1,0.9680835363946088,6,100.0,88.59548352741822,89.93485117708127,89.77979749956214,0,MESTALLA,EL PLA DEL REAL,2907.0,9.7,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,9.7,2907.0
B041,ALBORS,255654.97896969764,183.10311583588975,183.10311583588975,1,0.9237070350683793,284.1642805637,284.1642805637,1,0.8815982164317917,206.32908363797728,206.32908363797728,1,0.9140295484841762,80.30923985408754,80.30923985408754,1,0.9665378167274635,490.17577363538106,490.17577363538106,1,0.7957600943185912,165.99269960689477,165.99269960689477,1,0.9308363751637938,6,100.0,90.24674189357629,91.32757601979681,89.8543796670319,0,ALBORS,CAMINS AL GRAU,1864.0,9.3,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,9.3,1864.0
B042,L'AMISTAT,208612.29717739392,167.27830608644553,167.27830608644553,1,0.9303007057973144,243.86602049162275,243.86602049162275,1,0.8983891581284905,109.23000999778958,109.23000999778958,1,0.9544874958342543,68.11049612896167,68.11049612896167,1,0.9716206266129326,105.97442816253321,105.97442816253321,1,0.9558439882656111,211.93924828818473,211.93924828818473,1,0.911691979879923,6,100.0,94.08278519245037,93.76221621937492,93.08019965232296,0,AMISTAT,ALGIROS,1946.0,9.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,9.4,1946.0
