name,categoria,lat,lon
Constitució - Xest,transporte,39.4893127,-0.3759976000000002
Constitució - Dr. Peset Aleixandre,transporte,39.491529699999994,-0.37445270000000014
Sagunt - Don Bosco,transporte,39.491567399999994,-0.3739750000000001
Sagunt - Pare Urbà,transporte,39.48898299999998,-0.3749745000000015
Menéndez Pidal (imparell) - Pare Ferrís,transporte,39.481485899999996,-0.3842922999999997
Escola Oficial d'Idiomes,transporte,39.4826453,-0.3814790999999998
Menéndez Pidal - Pasarel·la,transporte,39.4790367,-0.3900844000000015
Estació d'Autobusos,transporte,39.4798993,-0.38779800000000164
Dr. Nicasi Benlloch - Alcubles,transporte,39.48737129999999,-0.3887540000000016
Pare Ferris - Joaquím Ballester,transporte,39.48494059999999,-0.3862562000000014
Pla de la Saïdia (riu) - Constitució,transporte,39.482819199999994,-0.3795320000000008
Pont dels Serrans,transporte,39.48162199999999,-0.37537130000000035
Pont de Fusta,transporte,39.4808739,-0.3739555000000005
Guadalaviar - Sagunt,transporte,39.481919700000006,-0.37541210000000097
Museu de Belles Arts,transporte,39.479042,-0.37131610000000037
la Plata - Sapadors,transporte,39.455825299999994,-0.3655132000000012
Menéndez Pidal (parell) - Pare Ferrís,transporte,39.481643399999996,-0.3845608000000014
Estació d'Autobusos,transporte,39.4802093,-0.3876944999999999
El Pla de la Saïdia - Constitució,transporte,39.4828787,-0.37744260000000107
Escola Oficial d'Idiomes,transporte,39.48298249999999,-0.38120530000000064
Mossén Miguel Tarín (imparell) - Carretera de Paterna,transporte,39.4972873,-0.41611780000000154
Beniferri,transporte,39.491049299999986,-0.39950900000000006
Dr. Soriano Benlloch - Rafael Tenes Escrich,transporte,39.4995555,-0.41732829999999993
Mossén Miguel Tarín (imparell) - Miquel Agraït,transporte,39.49855,-0.4163268000000002
Pius XII - Campanar,transporte,39.4823567,-0.39339400000000113
Pius XII - Centre Comercial,transporte,39.47951729999999,-0.39132810000000123
Corts Valencianes - Davant Esc. Prof. Sant Josep,transporte,39.4867953,-0.3963848000000002
Campanar,transporte,39.4843959,-0.39469330000000147
Campanar - Joan Pau II,transporte,39.4800319,-0.3937178000000008
Campanar - Ricardo Micó,transporte,39.4858918,-0.3906880000000002
Campanar - Pius XII,transporte,39.480614700000004,-0.39322139999999944
Mercat de Campanar,transporte,39.477770799999995,-0.3947825999999995
Joaquim Ballester - Campanar,transporte,39.48187490000001,-0.39211760000000084
Joaquim Ballester (parell) - Ricardo Micó,transporte,39.4829421,-0.38975590000000027
Joaquim Ballester (imparell) - Ricardo Micó,transporte,39.482644699999994,-0.38975820000000094
Pintor Garnelo - Campament,transporte,39.502419999999994,-0.42009339999999984
Felipe Valls - Lluís Cano,transporte,39.501403599999996,-0.4190929999999999
Mossén Miguel Tarín (parell) - Carretera de Paterna,transporte,39.497550100000005,-0.4162252000000002
Fira València,transporte,39.5034747,-0.4264928000000007
Velòdrom Lluís Puig,transporte,39.501688800000004,-0.4262726000000003
Polvorí - Campament,transporte,39.50091599999998,-0.42530010000000107
Campament (imparell) - Joaquín Marín,transporte,39.50149989999999,-0.4227498000000004
Fira València,transporte,39.503293799999994,-0.4262303000000009
Benimàmet,transporte,39.5014281,-0.41867130000000025
Campament - Felipe Valls,transporte,39.502646899999995,-0.42026640000000004
Campament (parell) - Joaquín Marín,transporte,39.5013558,-0.4232609000000007
Polvorí - Sinarques,transporte,39.5008428,-0.42514480000000093
Pérez Galdós - Torres Torres,transporte,39.4719113,-0.39375339999999986
Pérez Galdós - Democràcia,transporte,39.47445870000001,-0.3955846999999998
Mestre Rodrigo - Manuel de Falla,transporte,39.4773834,-0.39771869999999965
Manuel de Falla - Professor López Ibor,transporte,39.47557629999999,-0.40127480000000065
Manuel de Falla - Mestre Rodrigo,transporte,39.476290799999994,-0.3977873000000012
Vall de la Ballestera (parell) - Mestre Rodrigo,transporte,39.4791756,-0.3981851
Pius XII - Centre Comercial,transporte,39.4792259,-0.39162320000000106
Pius XII - Bisbe Soler,transporte,39.48168950000001,-0.39341400000000026
Corts Valencianes - Esc. Prof. de Sant Josep,transporte,39.48695799999999,-0.39740200000000087
Corts Valencianes - l'Alt Maestrat,transporte,39.49385809999999,-0.4022853000000006
Joan XXIII - Periodista Gil Sumbiela,transporte,39.492637699999996,-0.3831620000000004
Democràcia - Velázquez,transporte,39.4734992,-0.4002667000000012
Pérez Galdós - Dr. Zamenhof,transporte,39.474613999999995,-0.3953298
Democràcia - Baladre,transporte,39.473995800000004,-0.3974170999999996
Pérez Galdós - Calixt III,transporte,39.46964859999999,-0.39178480000000016
Pérez Galdós - Mestre Guerrero,transporte,39.472440299999995,-0.39378990000000025
Jesús,transporte,39.45920149999999,-0.3843381000000014
Pérez Galdós - Conca,transporte,39.4649052,-0.3883981000000004
Pérez Galdós - Lladró i Mallí,transporte,39.462858999999995,-0.38728339999999983
Giorgeta - Ctra. D'Escrivà,transporte,39.457997299999995,-0.3839338000000019
Pérez Galdós - Olimpia Arozena Torres,transporte,39.470028400000004,-0.39240189999999936
Llorca - Pérez Galdós,transporte,39.4684833,-0.3920099000000003
Cid - Pere Maria Orts,transporte,39.46971990000001,-0.4141584999999996
Cid - Particular,transporte,39.46986969999998,-0.4115559000000009
Nou d'Octubre,transporte,39.470133199999985,-0.4055785
Cid - Passatge Vidal,transporte,39.46960969999999,-0.40320989999999907
Joan Baptista Comes - Antonio Machado,transporte,39.46720449999999,-0.41506910000000036
Avinguda del Cid,transporte,39.469726299999984,-0.41587790000000224
Mercat de Castilla,transporte,39.46537279999999,-0.4061684000000021
Cid - Hospital,transporte,39.4695652,-0.40986750000000044
Cid - Marconi,transporte,39.469253599999995,-0.4133128999999998
Hospital General,transporte,39.4685857,-0.40557769999999893
Colònia Esp. de Mèxic - Casa de la Misericòrdia,transporte,39.464553599999995,-0.4091121999999998
la Fontsanta,transporte,39.465784500000005,-0.4096477999999992
Brasil - Velázquez,transporte,39.4723623,-0.4002552000000007
Brasil - Francisco Moreno Usedo,transporte,39.47153029999999,-0.39765500000000054
Petxina - Racó d'Ademús,transporte,39.47352819999999,-0.4027088000000002
Parc de l'Oest - Germans Rivas,transporte,39.46839339999999,-0.3961241000000002
Cid - Burgos,transporte,39.4690011,-0.39984480000000144
Brasil - Artur Piera,transporte,39.4707191,-0.39518659999999983
Linares - Pérez Galdós,transporte,39.4689904,-0.39216640000000125
Tres Forques - Mare de Déu de la Cabeça,transporte,39.463730600000005,-0.39983529999999967
Tres Forques - Emili Lluch,transporte,39.463593800000005,-0.40303529999999943
Tres Forques - Churat i Saurí,transporte,39.4640574,-0.39177030000000046
Tres Forques (imparell) - Arxiduc Carles,transporte,39.463844599999995,-0.39694929999999984
Tres Forques - Xiva,transporte,39.464295299999996,-0.3894725000000015
Tres Forques - Pérez Galdós,transporte,39.46416989999999,-0.3889196000000006
Tres Forques - Mestre Bellver,transporte,39.4641369,-0.39337560000000055
Arxiduc Carles - Puebla de Valverde,transporte,39.45945689999999,-0.40106000000000064
Arxiduc Carles (parell) - Fra Juníper Serra,transporte,39.460953200000006,-0.39942579999999944
Arxiduc Carles - Músic Gomis,transporte,39.4588717,-0.40138210000000063
Camí Nou de Picanya - Tres Creus,transporte,39.45756579999999,-0.40325659999999935
Arquitecte Segura de Lago - Prof. Àngel Lacalle,transporte,39.45523909999999,-0.4041008000000002
Arxiduc Carles - Fra Juníper Serra,transporte,39.460963299999996,-0.3991412000000002
Mercat de Jesús,transporte,39.46020369999999,-0.3886993000000003
Hospital Verge del Consol,transporte,39.4618046,-0.3873074000000013
Cid - Josep Maestre,transporte,39.4690378,-0.40244180000000157
Central de Policia Local de València,transporte,39.4685854,-0.39993029999999924
Parc de l'Oest - Enguera,transporte,39.4678939,-0.3957661000000016
Arxiduc Carles - Xiva,transporte,39.4664295,-0.393420700000001
